run_timestamp,niche,query_used,channel,video_title,video_url,upload_date,subscriber_count,view_count,lead_score,needs_editor,language_version,reason,prospecting_message,red_flags
2026-01-10 13:46:45,Fitness,Fitness,Improved Health,30-Minute Japanese Walking Workout | Low Impact Intervals for Fat Loss & Endurance,https://www.youtube.com/watch?v=UmJXLXwn5II,05/01/2026,484000,35430,80,True,fr,Le contenu de la chaîne Improved Health a un fort potentiel mais le montage pourrait être amélioré pour une expérience utilisateur plus engageante,"Bonjour, je suis impressionné par la qualité de vos contenus de fitness sur votre chaîne Improved Health ! Je pense que avec un montage plus dynamique, vous pourriez encore augmenter l'engagement de vos abonnés et attirer de nouveaux spectateurs. Je serais ravi de discuter de la façon dont je peux vous aider à améliorer la production de vos vidéos",
2026-01-10 13:46:45,Fitness,Fitness,CARDIO DANCE WITH CLAU & PATY,LEGS WORKOUT | CARDIO DANCE FITNESS,https://www.youtube.com/watch?v=7QK5vaHwpkM,09/01/2026,2970000,9629,80,True,fr,La chaîne a un contenu à fort potentiel mais le montage est parfois lent et pourrait être amélioré pour une expérience utilisateur plus dynamique.,"Bonjour Clau & Paty, votre chaîne CARDIO DANCE WITH CLAU & PATY est vraiment inspirante et votre énergie est contagieuse ! Je pense que avec un montage vidéo plus dynamique, vous pourriez encore augmenter l'engagement de vos abonnés et attirer de nouveaux fans. Je serais ravi de discuter de la façon dont je pourrais vous aider à améliorer la production de vos vidéos.",
2026-01-10 13:46:45,Fitness,Fitness,CARDIO DANCE WITH CLAU & PATY,Abdomen de pie | PRINCIPIANTES | CARDIO DANCE FITNESS,https://www.youtube.com/watch?v=2sQC5RUa0xg,09/01/2026,2970000,10564,80,True,fr,La chaîne a un contenu à fort potentiel mais un montage qui pourrait être amélioré pour une meilleure expérience utilisateur.,"Bonjour Clau & Paty, votre chaîne CARDIO DANCE WITH CLAU & PATY est vraiment inspirante et votre énergie est contagieuse ! Je pense que avec un montage vidéo plus dynamique, vous pourriez encore augmenter l'engagement de vos abonnés et attirer de nouveaux fans. Je serais ravi de discuter de la façon dont je peux vous aider à améliorer la production de vos vidéos.",
2026-01-10 13:46:45,Fitness,Fitness,fabulous50s,Don't Skip This | 28-Day Fitness Challenge for Real Results (Just 10 Minutes a Day),https://www.youtube.com/watch?v=FbDvM9LyhPc,09/01/2026,2180000,14289,80,True,fr,Le contenu a un fort potentiel mais le montage est relativement simple et pourrait être amélioré pour une meilleure expérience utilisateur.,"Bonjour fabulous50s, je suis impressionné par la qualité de vos contenus et votre engagement envers vos abonnés ! Je pense que mon expertise en montage vidéo pourrait vous aider à améliorer l'expérience utilisateur et à augmenter l'engagement sur vos vidéos. Je serais ravi de discuter de la façon dont je peux vous aider à prendre vos vidéos au niveau supérieur.",
2026-01-10 13:46:45,Fitness,Fitness,Will Harlow – Over-Fifties Specialist Physio,Over 60? Your Exercise Routine Is Probably Too Complicated,https://www.youtube.com/watch?v=i219_npKMi0,03/01/2026,1540000,81750,80,True,fr,Le contenu de la chaîne a un fort potentiel mais le montage est parfois lent et comporte des blancs,"Bonjour Will, votre contenu est vraiment intéressant et votre expertise en physiothérapie pour les plus de 50 ans est très utile. Je pense que votre chaîne pourrait bénéficier d'un montage plus dynamique pour accrocher encore plus votre audience. Je serais ravi de discuter de la façon dont je pourrais vous aider à améliorer la production de vos vidéos.",
2026-01-10 13:46:45,Fitness,Fitness,Boho Beautiful Yoga,"30 Min Yoga Workout | Full Body Strength, Stretch & Tone For 2026 Results ❤",https://www.youtube.com/watch?v=-utsdX80_T4,01/01/2026,3240000,54753,80,True,fr,La chaîne Boho Beautiful Yoga présente un contenu à fort potentiel mais avec un montage qui pourrait être amélioré pour une expérience de visionnage plus fluide et engageante.,"Bonjour Juliana, je suis impressionné par la qualité de votre contenu et la passion que vous mettez dans vos vidéos de yoga. Je pense que mon expertise en montage vidéo pourrait aider à améliorer l'expérience de vos abonnés et renforcer votre marque. Je serais ravi de discuter de la façon dont nous pourrions travailler ensemble pour créer des vidéos encore plus engageantes et professionnelles.",
2026-01-10 13:46:45,Fitness,Fitness,Pamela Reif,50 MIN DANCE CARDIO PARTY - burn 400-500kcal with a smile I LIVE Session,https://www.youtube.com/watch?v=IvLKNcfUf40,10/01/2026,10600000,14690,80,True,fr,La vidéo a un fort potentiel mais un montage qui pourrait être amélioré pour une expérience de visionnage plus dynamique,"Bonjour Pamela, j'ai découvert votre chaîne et je suis impressionné par votre énergie et votre créativité ! Je pense que votre contenu pourrait être encore plus impactant avec un montage vidéo plus précis, je serais ravi de discuter de la façon dont je pourrais vous aider à améliorer la qualité de vos vidéos",
2026-01-10 13:46:45,Fitness,Fitness,DANIELPT FITNESS,"ONE Kettlebell, NO Repeats | 30-Minute Full Body Follow-Along Workout",https://www.youtube.com/watch?v=96KuI0EuRDg,08/01/2026,158000,5742,80,True,fr,Le contenu de la chaîne DANIELPT FITNESS a un fort potentiel mais le montage pourrait être amélioré pour une expérience de visionnage plus fluide et engageante.,"Bonjour Daniel, j'ai découvert votre chaîne et je suis impressionné par la qualité de vos contenus de fitness ! Je pense que mon expertise en montage vidéo pourrait vous aider à améliorer l'expérience de vos abonnés et à augmenter votre audience. Je serais ravi de discuter avec vous de possibilités de collaboration.",
2026-01-10 13:46:45,Fitness,Fitness,Sam Sulek,58 Days Out - Back at Planet Fitness,https://www.youtube.com/watch?v=cS2bedOa1C4,08/01/2026,4370000,151105,80,True,fr,Le contenu de la chaîne a un fort potentiel mais le montage est parfois « mou » et pourrait être amélioré pour une meilleure expérience utilisateur.,"Bonjour Sam, j'ai découvert votre chaîne et je suis impressionné par votre contenu de qualité ! Je pense que votre audience pourrait encore être plus engagée avec un montage vidéo plus dynamique. Je serais ravi de discuter de la façon dont je pourrais vous aider à améliorer la production de vos vidéos.",
2026-01-10 13:46:45,Fitness,Fitness,James Smith,Has The Fitness Industry Got This Wrong?,https://www.youtube.com/watch?v=ntA7P_vbSdI,06/01/2026,466000,115817,80,True,fr,Le contenu de la chaîne a un fort potentiel mais le montage est parfois « mou » et pourrait être amélioré pour une meilleure expérience utilisateur.,"Bonjour James, j'ai découvert votre chaîne et je suis impressionné par la qualité de vos contenus ! Je pense que mon expertise en montage vidéo pourrait vous aider à améliorer l'expérience utilisateur et à renforcer votre message. Je serais ravi de discuter avec vous de la façon dont je peux vous aider à prendre votre contenu à l'étape suivante.",
